Feature ID,State,State Abbreviation,State FIPS Code,County,Locale,POINT_X,POINT_Y,Distance to Nearest School (meters),NCES School ID of Nearest School,Name of Nearest School,Name of School District,LEAID of School District,Electric Utility,Census Tract ID,Total population,Percent people of color,Percent low-income households,PM2.5 (μg/m3),Ozone concentration (ppb),PM2.5 percentile,Ozone percentile
3865,Maryland,MD,24,Allegany County,Urban,-78.73483879,39.67652857,,,,Allegany County Public Schools,2400030,THE POTOMAC EDISON COMPANY,24001002300,5712,4%,29%,6.8,54.9,17,8
3866,Maryland,MD,24,Washington County,Urban,-77.92575649,39.65726335,,,,Washington County Public Schools,2400660,THE POTOMAC EDISON COMPANY,24043010600,5299,6%,21%,7.9,55.6,43,10
3867,Maryland,MD,24,Washington County,Urban,-77.71121957,39.62753752,,,,Washington County Public Schools,2400660,THE POTOMAC EDISON COMPANY,24043000602,3229,21%,27%,8,58.2,43,25
3868,Maryland,MD,24,Washington County,Urban,-77.71960709,39.6230991,,,,Washington County Public Schools,2400660,THE POTOMAC EDISON COMPANY,24043000602,3229,21%,27%,8,58.2,43,25
3869,Maryland,MD,24,Frederick County,Suburban,-77.53417145,39.44555918,118,240033000641,Middletown High,Frederick County Public Schools,2400330,THE POTOMAC EDISON COMPANY,24021752601,4442,18%,12%,7.8,60,39,40
3870,Maryland,MD,24,Frederick County,Suburban,-77.35569922,39.47962723,117,240033000656,Walkersville Middle,Frederick County Public Schools,2400330,THE POTOMAC EDISON COMPANY,24021740200,5305,23%,9%,7.9,61.2,41,50
3871,Maryland,MD,24,Frederick County,Suburban,-77.4035308,39.45621167,,,,Frederick County Public Schools,2400330,THE POTOMAC EDISON COMPANY,24021750701,5699,43%,16%,7.9,61.2,42,50
3872,Maryland,MD,24,Frederick County,Suburban,-77.40650461,39.43277047,137,240033000634,Gov. Thomas Johnson High,Frederick County Public Schools,2400330,THE POTOMAC EDISON COMPANY,24021750801,3317,35%,34%,7.9,61.4,42,51
3873,Maryland,MD,24,Frederick County,Suburban,-77.18459233,39.47401374,,,,Frederick County Public Schools,2400330,THE POTOMAC EDISON COMPANY,24021751702,3733,10%,15%,7.8,62,40,56
3874,Maryland,MD,24,Frederick County,Suburban,-77.2443039,39.48086183,,,,Frederick County Public Schools,2400330,THE POTOMAC EDISON COMPANY,24021751702,3733,10%,15%,7.8,62,40,56
3875,Maryland,MD,24,Frederick County,Suburban,-77.24891959,39.43363312,159,240033000638,Linganore High,Frederick County Public Schools,2400330,THE POTOMAC EDISON COMPANY,24021751802,3957,4%,7%,7.8,62.6,39,59
3876,Maryland,MD,24,Carroll County,Suburban,-76.95285165,39.50764671,,,,Carroll County Public Schools,2400210,BALTIMORE GAS & ELECTRIC CO,24013504202,7052,5%,7%,7.9,63.6,41,67
3877,Maryland,MD,24,Carroll County,Suburban,-77.05695574,39.45900382,,,,Carroll County Public Schools,2400210,BALTIMORE GAS & ELECTRIC CO,24013509001,5014,5%,11%,7.8,62.9,40,62
3878,Maryland,MD,24,Carroll County,Suburban,-77.07261577,39.37368331,,,,Carroll County Public Schools,2400210,BALTIMORE GAS & ELECTRIC CO,24013514201,5081,11%,12%,7.7,63.6,38,67
3879,Maryland,MD,24,Carroll County,Suburban,-76.90403106,39.51027898,,,,Carroll County Public Schools,2400210,BALTIMORE GAS & ELECTRIC CO,24013504100,4911,12%,9%,7.9,63.3,42,65
3880,Maryland,MD,24,Carroll County,Suburban,-76.92624384,39.47284007,,,,Carroll County Public Schools,2400210,BALTIMORE GAS & ELECTRIC CO,24013504202,7052,5%,7%,7.9,63.6,41,67
3881,Maryland,MD,24,Carroll County,Suburban,-76.99537802,39.4289882,,,,Carroll County Public Schools,2400210,BALTIMORE GAS & ELECTRIC CO,24013514100,3536,9%,7%,7.8,63.6,40,67
3882,Maryland,MD,24,Carroll County,Suburban,-77.05754166,39.40954399,,,,Carroll County Public Schools,2400210,BALTIMORE GAS & ELECTRIC CO,24013514201,5081,11%,12%,7.7,63.6,38,67
3883,Maryland,MD,24,Carroll County,Suburban,-77.05594894,39.39785385,,,,Carroll County Public Schools,2400210,BALTIMORE GAS & ELECTRIC CO,24013514201,5081,11%,12%,7.7,63.6,38,67
3884,Maryland,MD,24,Baltimore County,Suburban,-76.75305557,39.33844126,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005402303,6910,94%,24%,8.1,67.8,46,88
